id;name;package_name;service_discovery_type;dev_database_type;prod_database_type;cache_provider;message_broker;server_port;front_message;client_framework;languages;test_framework;rent_id;update_time;create_time
1;redefine Toys;Mountains Ridges Pennsylvania;XML;system seize;Cotton Agent Mayotte;Peso synthesize;Brand;8366;calculate Passage Concrete;Technician wireless Steel;Practical Switchable;capacitor;Sharable distributed;Principal;hacking
2;purple International Ergonomic;Loan GB GB;deposit zero;alarm Fresh;streamline;Books bandwidth-monitored;Jordan experiences connecting;43853;Handmade;Berkshire Granite Helena;Forge Markets;program Auto;Open-architected;Borders;Personal
3;Account compelling index;lime Planner Valley;benchmark;Cotton Specialist;Branding Cambridgeshire;Borders;International Licensed Afghanistan;91581;foreground Grocery Bedfordshire;Gorgeous efficient;Buckinghamshire multi-byte;background;utilisation;Congo;visualize Gorgeous communities
4;Gorgeous PCI auxiliary;FTP Soft;connecting index;Refined Ball Games;quantifying Shoes Computers;technologies experiences deposit;Berkshire Card;44376;Village green Plastic;Extended;Territory Director withdrawal;Movies directional;Accountability;Small;end-to-end
5;Small;Pennsylvania Steel;Berkshire;Customer haptic Practical;Avon;Toys;Books;74899;revolutionize teal reboot;niches;monitor relationships Concrete;Bacon Handcrafted e-services;SCSI Vista enterprise;Metal Granite Clothing;Fundamental zero cutting-edge
6;Markets synthesize Solutions;Metal e-business;repurpose Rustic;integrated;driver;Account;Fantastic;21070;FTP;Account;Chips copy;Re-engineered matrix;cyan ADP;digital;Arab invoice Compatible
7;solution-oriented Investment withdrawal;Steel Buckinghamshire;Money capacitor proactive;optical Fantastic;Computers Avon;Italy Islands Indiana;Frozen;44930;Handcrafted;generate;Portugal Venezuela;synergies auxiliary;Outdoors killer Ergonomic;optical Beauty Chair;driver Tennessee
8;Soft;deposit Lats maroon;Ergonomic navigating;Rubber Orchestrator Chile;application withdrawal;blockchains Throughway synthesize;multi-byte innovative navigate;25873;Executive;program Open-source quantifying;Uruguay Guinea Handmade;standardization;Dynamic Coordinator background;Computers paradigms;empowering Chief
9;Bahrain Loan;coherent JBOD;transmitting;systems methodologies Fish;panel Product attitude-oriented;optical monitor;RAM THX;57323;primary Security;Granite;Regional;Burundi copy;online;Administrator ivory Serbian;Triple-buffered
10;SDD;back-end Plastic;Chief;silver;Cambridgeshire hack withdrawal;Tunnel portal Street;capacitor best-of-breed Tools;70228;Finland;Card capacitor;Electronics;Borders Wooden;Human Implemented collaboration;Loan Berkshire;Unbranded index CSS
