id;type;package_name;service_discovery_type;dev_database_type;prod_database_type;cache_provider;message_broker;server_port;front_message;client_framework;languages;test_framework;rent_id;update_time;create_time
1;MANUAL;solution;Movies solutions Account;cultivate;generating;Pakistan calculating;Rustic Fort;85718;Home Bypass payment;utilize Soap deliver;Awesome groupware;Applications Shoes;Small expedite attitude;Shoes function Group;Pants Granite Marketing
2;MANUAL;Designer;core back-end;bluetooth;Front-line;salmon reboot multi-byte;Alabama;4378;Small benchmark Account;Unbranded Idaho indigo;Chair digital;Central;drive SQL;Trace Practical uniform;Personal synergies
3;TEMPLATE;transparent National;improvement;optical Tuna metrics;Shirt;Assurance deposit;South;11727;Investment;Functionality withdrawal Diverse;function e-commerce Music;state matrix;online application;global Persistent calculating;Comoros Card Cotton
4;TEMPLATE;SMS Officer Cotton;deploy;Regional interactive;grow Metal;Gibraltar Avon neural;supply-chains;85575;National FTP;Bedfordshire Djibouti;magenta International Persevering;multi-byte;Berkshire concept Crest;Shoes Legacy;AI bypass
5;TEMPLATE;input Toys Avon;Total;payment;mobile scalable maroon;Fish metrics Bedfordshire;customized;82116;experiences;maroon;magenta utilize Incredible;envisioneer;Administrator;Checking;International
6;MANUAL;Rapid array Liaison;Motorway;deposit Central;generate;Cheese orchid;Internal;39353;THX Markets;Corporate reboot neural;unleash Account protocol;Borders Decentralized;secondary Small;bi-directional deposit Manager;Enhanced
7;MANUAL;Table;Account innovative;Ergonomic extend calculate;Dynamic multi-byte;Intelligent flexibility alliance;program programming backing;72636;scale Loan;Borders specifically firewall;Cheese;HDD 24/7;Games;SCSI Executive;Home
8;TEMPLATE;visualize Jewelery;Wyoming Ergonomic Orchestrator;interface;neural harness;Home Union Montserrat;Customer TCP vortals;91215;Small Towels Tennessee;Incredible;withdrawal Panama Specialist;portal;Legacy Madagascar;Peso;Assurance Somalia
9;TEMPLATE;projection;Developer;contextually-based communities Senior;Central cyan Greenland;International;Salad Timor-Leste deliver;95980;explicit solutions;Bacon;Monaco web-enabled;Generic Identity Accountability;circuit;Multi-layered Station Lira;Lesotho Sports withdrawal
10;TEMPLATE;national;white deposit Markets;feed Functionality;payment sensor;programming;Officer;12872;interface;Wyoming;Haven innovate Arizona;Handmade Factors;metrics Regional;sensor Tasty gold;Frozen SMS repurpose
